Office,Office (Code),Origin,Field of technology,Year,Patent Count
United States of America,US,Total,30 - Thermal processes and apparatus,1990,1417.0
United States of America,US,Total,31 - Mechanical elements,1990,3696.0
United States of America,US,Total,32 - Transport,1990,4545.0
United States of America,US,Total,"33 - Furniture, games",1990,3255.0
United States of America,US,Total,34 - Other consumer goods,1990,2550.0
United States of America,US,Total,35 - Civil engineering,1990,3472.0
European Patent Office,EP,Total,"1 - Electrical machinery, apparatus, energy",1991,3266.0
European Patent Office,EP,Total,2 - Audio-visual technology,1991,2564.0
European Patent Office,EP,Total,3 - Telecommunications,1991,1405.0
European Patent Office,EP,Total,4 - Digital communication,1991,597.0
European Patent Office,EP,Total,5 - Basic communication processes,1991,887.0
European Patent Office,EP,Total,6 - Computer technology,1991,2363.0
European Patent Office,EP,Total,7 - IT methods for management,1991,48.0
European Patent Office,EP,Total,8 - Semiconductors,1991,1640.0
European Patent Office,EP,Total,9 - Optics,1991,2682.0
European Patent Office,EP,Total,10 - Measurement,1991,2855.0
European Patent Office,EP,Total,11 - Analysis of biological materials,1991,491.0
European Patent Office,EP,Total,12 - Control,1991,959.0
European Patent Office,EP,Total,13 - Medical technology,1991,2157.0
European Patent Office,EP,Total,14 - Organic fine chemistry,1991,2859.0
European Patent Office,EP,Total,15 - Biotechnology,1991,1360.0
European Patent Office,EP,Total,16 - Pharmaceuticals,1991,1851.0
European Patent Office,EP,Total,"17 - Macromolecular chemistry, polymers",1991,2381.0
European Patent Office,EP,Total,18 - Food chemistry,1991,597.0
European Patent Office,EP,Total,19 - Basic materials chemistry,1991,2156.0
European Patent Office,EP,Total,"20 - Materials, metallurgy",1991,1530.0
European Patent Office,EP,Total,"21 - Surface technology, coating",1991,1120.0
European Patent Office,EP,Total,22 - Micro-structural and nano-technology,1991,4.0
European Patent Office,EP,Total,23 - Chemical engineering,1991,2104.0
European Patent Office,EP,Total,24 - Environmental technology,1991,801.0
European Patent Office,EP,Total,25 - Handling,1991,2214.0
European Patent Office,EP,Total,26 - Machine tools,1991,1843.0
European Patent Office,EP,Total,"27 - Engines, pumps, turbines",1991,1515.0
European Patent Office,EP,Total,28 - Textile and paper machines,1991,2254.0
European Patent Office,EP,Total,29 - Other special machines,1991,2472.0
European Patent Office,EP,Total,30 - Thermal processes and apparatus,1991,800.0
European Patent Office,EP,Total,31 - Mechanical elements,1991,2085.0
European Patent Office,EP,Total,32 - Transport,1991,2378.0
European Patent Office,EP,Total,"33 - Furniture, games",1991,1007.0
European Patent Office,EP,Total,34 - Other consumer goods,1991,1021.0
European Patent Office,EP,Total,35 - Civil engineering,1991,1921.0
United States of America,US,Total,"1 - Electrical machinery, apparatus, energy",1991,5413.0
United States of America,US,Total,2 - Audio-visual technology,1991,4169.0
United States of America,US,Total,3 - Telecommunications,1991,2015.0
United States of America,US,Total,4 - Digital communication,1991,636.0
United States of America,US,Total,5 - Basic communication processes,1991,1669.0
United States of America,US,Total,6 - Computer technology,1991,3034.0
United States of America,US,Total,7 - IT methods for management,1991,67.0
United States of America,US,Total,8 - Semiconductors,1991,2970.0
United States of America,US,Total,9 - Optics,1991,5185.0
United States of America,US,Total,10 - Measurement,1991,5138.0
United States of America,US,Total,11 - Analysis of biological materials,1991,466.0
United States of America,US,Total,12 - Control,1991,1585.0
United States of America,US,Total,13 - Medical technology,1991,4498.0
United States of America,US,Total,14 - Organic fine chemistry,1991,4120.0
United States of America,US,Total,15 - Biotechnology,1991,1201.0
United States of America,US,Total,16 - Pharmaceuticals,1991,1907.0
United States of America,US,Total,"17 - Macromolecular chemistry, polymers",1991,3064.0
United States of America,US,Total,18 - Food chemistry,1991,705.0
United States of America,US,Total,19 - Basic materials chemistry,1991,3019.0
United States of America,US,Total,"20 - Materials, metallurgy",1991,2420.0
United States of America,US,Total,"21 - Surface technology, coating",1991,1579.0
United States of America,US,Total,22 - Micro-structural and nano-technology,1991,10.0
United States of America,US,Total,23 - Chemical engineering,1991,3086.0
United States of America,US,Total,24 - Environmental technology,1991,1249.0
United States of America,US,Total,25 - Handling,1991,3867.0
United States of America,US,Total,26 - Machine tools,1991,3530.0
United States of America,US,Total,"27 - Engines, pumps, turbines",1991,3186.0
United States of America,US,Total,28 - Textile and paper machines,1991,2913.0
United States of America,US,Total,29 - Other special machines,1991,4368.0
United States of America,US,Total,30 - Thermal processes and apparatus,1991,1366.0
United States of America,US,Total,31 - Mechanical elements,1991,3908.0
United States of America,US,Total,32 - Transport,1991,4769.0
United States of America,US,Total,"33 - Furniture, games",1991,3485.0
United States of America,US,Total,34 - Other consumer goods,1991,2697.0
United States of America,US,Total,35 - Civil engineering,1991,3647.0
European Patent Office,EP,Total,"1 - Electrical machinery, apparatus, energy",1992,3160.0
European Patent Office,EP,Total,2 - Audio-visual technology,1992,2633.0
European Patent Office,EP,Total,3 - Telecommunications,1992,1508.0
European Patent Office,EP,Total,4 - Digital communication,1992,663.0
European Patent Office,EP,Total,5 - Basic communication processes,1992,938.0
European Patent Office,EP,Total,6 - Computer technology,1992,2431.0
European Patent Office,EP,Total,7 - IT methods for management,1992,54.0
European Patent Office,EP,Total,8 - Semiconductors,1992,1587.0
European Patent Office,EP,Total,9 - Optics,1992,2620.0
European Patent Office,EP,Total,10 - Measurement,1992,2812.0
European Patent Office,EP,Total,11 - Analysis of biological materials,1992,487.0
European Patent Office,EP,Total,12 - Control,1992,979.0
European Patent Office,EP,Total,13 - Medical technology,1992,2172.0
European Patent Office,EP,Total,14 - Organic fine chemistry,1992,2693.0
European Patent Office,EP,Total,15 - Biotechnology,1992,1436.0
European Patent Office,EP,Total,16 - Pharmaceuticals,1992,1873.0
European Patent Office,EP,Total,"17 - Macromolecular chemistry, polymers",1992,2235.0
European Patent Office,EP,Total,18 - Food chemistry,1992,570.0
European Patent Office,EP,Total,19 - Basic materials chemistry,1992,2044.0
European Patent Office,EP,Total,"20 - Materials, metallurgy",1992,1559.0
European Patent Office,EP,Total,"21 - Surface technology, coating",1992,1137.0
European Patent Office,EP,Total,22 - Micro-structural and nano-technology,1992,11.0
European Patent Office,EP,Total,23 - Chemical engineering,1992,2100.0
European Patent Office,EP,Total,24 - Environmental technology,1992,859.0
European Patent Office,EP,Total,25 - Handling,1992,2268.0
European Patent Office,EP,Total,26 - Machine tools,1992,1865.0
European Patent Office,EP,Total,"27 - Engines, pumps, turbines",1992,1553.0
European Patent Office,EP,Total,28 - Textile and paper machines,1992,2089.0
European Patent Office,EP,Total,29 - Other special machines,1992,2512.0
European Patent Office,EP,Total,30 - Thermal processes and apparatus,1992,829.0
European Patent Office,EP,Total,31 - Mechanical elements,1992,2128.0
European Patent Office,EP,Total,32 - Transport,1992,2291.0
European Patent Office,EP,Total,"33 - Furniture, games",1992,1024.0
European Patent Office,EP,Total,34 - Other consumer goods,1992,1121.0
European Patent Office,EP,Total,35 - Civil engineering,1992,1839.0
United States of America,US,Total,"1 - Electrical machinery, apparatus, energy",1992,5342.0
United States of America,US,Total,2 - Audio-visual technology,1992,4297.0
United States of America,US,Total,3 - Telecommunications,1992,2139.0
United States of America,US,Total,4 - Digital communication,1992,765.0
United States of America,US,Total,5 - Basic communication processes,1992,1729.0
United States of America,US,Total,6 - Computer technology,1992,3380.0
United States of America,US,Total,7 - IT methods for management,1992,81.0
United States of America,US,Total,8 - Semiconductors,1992,3045.0
United States of America,US,Total,9 - Optics,1992,5128.0
United States of America,US,Total,10 - Measurement,1992,4988.0
United States of America,US,Total,11 - Analysis of biological materials,1992,599.0
United States of America,US,Total,12 - Control,1992,1576.0
United States of America,US,Total,13 - Medical technology,1992,4646.0
United States of America,US,Total,14 - Organic fine chemistry,1992,4241.0
United States of America,US,Total,15 - Biotechnology,1992,1514.0
United States of America,US,Total,16 - Pharmaceuticals,1992,1883.0
United States of America,US,Total,"17 - Macromolecular chemistry, polymers",1992,3143.0
United States of America,US,Total,18 - Food chemistry,1992,737.0
United States of America,US,Total,19 - Basic materials chemistry,1992,3039.0
United States of America,US,Total,"20 - Materials, metallurgy",1992,2347.0
United States of America,US,Total,"21 - Surface technology, coating",1992,1670.0
United States of America,US,Total,22 - Micro-structural and nano-technology,1992,7.0
United States of America,US,Total,23 - Chemical engineering,1992,3335.0
United States of America,US,Total,24 - Environmental technology,1992,1373.0
United States of America,US,Total,25 - Handling,1992,3766.0
United States of America,US,Total,26 - Machine tools,1992,3388.0
United States of America,US,Total,"27 - Engines, pumps, turbines",1992,3305.0
United States of America,US,Total,28 - Textile and paper machines,1992,3083.0
United States of America,US,Total,29 - Other special machines,1992,4497.0
United States of America,US,Total,30 - Thermal processes and apparatus,1992,1310.0
United States of America,US,Total,31 - Mechanical elements,1992,3759.0
United States of America,US,Total,32 - Transport,1992,4519.0
United States of America,US,Total,"33 - Furniture, games",1992,3421.0
United States of America,US,Total,34 - Other consumer goods,1992,2536.0
United States of America,US,Total,35 - Civil engineering,1992,3360.0
European Patent Office,EP,Total,"1 - Electrical machinery, apparatus, energy",1993,3035.0
European Patent Office,EP,Total,2 - Audio-visual technology,1993,2443.0
European Patent Office,EP,Total,3 - Telecommunications,1993,1524.0
European Patent Office,EP,Total,4 - Digital communication,1993,664.0
European Patent Office,EP,Total,5 - Basic communication processes,1993,788.0
European Patent Office,EP,Total,6 - Computer technology,1993,2310.0
European Patent Office,EP,Total,7 - IT methods for management,1993,53.0
European Patent Office,EP,Total,8 - Semiconductors,1993,1393.0
European Patent Office,EP,Total,9 - Optics,1993,2599.0
European Patent Office,EP,Total,10 - Measurement,1993,2496.0
European Patent Office,EP,Total,11 - Analysis of biological materials,1993,480.0
European Patent Office,EP,Total,12 - Control,1993,865.0
European Patent Office,EP,Total,13 - Medical technology,1993,2316.0
European Patent Office,EP,Total,14 - Organic fine chemistry,1993,2776.0
European Patent Office,EP,Total,15 - Biotechnology,1993,1378.0
European Patent Office,EP,Total,16 - Pharmaceuticals,1993,1927.0
European Patent Office,EP,Total,"17 - Macromolecular chemistry, polymers",1993,2143.0
European Patent Office,EP,Total,18 - Food chemistry,1993,496.0
European Patent Office,EP,Total,19 - Basic materials chemistry,1993,2082.0
European Patent Office,EP,Total,"20 - Materials, metallurgy",1993,1423.0
European Patent Office,EP,Total,"21 - Surface technology, coating",1993,1070.0
European Patent Office,EP,Total,22 - Micro-structural and nano-technology,1993,12.0
European Patent Office,EP,Total,23 - Chemical engineering,1993,1954.0
European Patent Office,EP,Total,24 - Environmental technology,1993,819.0
European Patent Office,EP,Total,25 - Handling,1993,2295.0
European Patent Office,EP,Total,26 - Machine tools,1993,1755.0
European Patent Office,EP,Total,"27 - Engines, pumps, turbines",1993,1383.0
European Patent Office,EP,Total,28 - Textile and paper machines,1993,2021.0
European Patent Office,EP,Total,29 - Other special machines,1993,2258.0
European Patent Office,EP,Total,30 - Thermal processes and apparatus,1993,801.0
European Patent Office,EP,Total,31 - Mechanical elements,1993,1973.0
European Patent Office,EP,Total,32 - Transport,1993,2240.0
European Patent Office,EP,Total,"33 - Furniture, games",1993,984.0
European Patent Office,EP,Total,34 - Other consumer goods,1993,1024.0
European Patent Office,EP,Total,35 - Civil engineering,1993,1730.0
United States of America,US,Total,"1 - Electrical machinery, apparatus, energy",1993,5205.0
United States of America,US,Total,2 - Audio-visual technology,1993,4500.0
United States of America,US,Total,3 - Telecommunications,1993,2389.0
United States of America,US,Total,4 - Digital communication,1993,900.0
United States of America,US,Total,5 - Basic communication processes,1993,1536.0
United States of America,US,Total,6 - Computer technology,1993,4095.0
United States of America,US,Total,7 - IT methods for management,1993,140.0
United States of America,US,Total,8 - Semiconductors,1993,3348.0
United States of America,US,Total,9 - Optics,1993,5378.0
United States of America,US,Total,10 - Measurement,1993,4874.0
United States of America,US,Total,11 - Analysis of biological materials,1993,674.0
United States of America,US,Total,12 - Control,1993,1670.0
United States of America,US,Total,13 - Medical technology,1993,4725.0
United States of America,US,Total,14 - Organic fine chemistry,1993,4615.0
United States of America,US,Total,15 - Biotechnology,1993,1798.0
United States of America,US,Total,16 - Pharmaceuticals,1993,1901.0
United States of America,US,Total,"17 - Macromolecular chemistry, polymers",1993,3273.0
United States of America,US,Total,18 - Food chemistry,1993,706.0
United States of America,US,Total,19 - Basic materials chemistry,1993,2958.0
United States of America,US,Total,"20 - Materials, metallurgy",1993,2331.0
United States of America,US,Total,"21 - Surface technology, coating",1993,1692.0
United States of America,US,Total,22 - Micro-structural and nano-technology,1993,15.0
United States of America,US,Total,23 - Chemical engineering,1993,3260.0
United States of America,US,Total,24 - Environmental technology,1993,1430.0
United States of America,US,Total,25 - Handling,1993,3587.0
United States of America,US,Total,26 - Machine tools,1993,3175.0
United States of America,US,Total,"27 - Engines, pumps, turbines",1993,3211.0
United States of America,US,Total,28 - Textile and paper machines,1993,2896.0
United States of America,US,Total,29 - Other special machines,1993,4298.0
United States of America,US,Total,30 - Thermal processes and apparatus,1993,1392.0
United States of America,US,Total,31 - Mechanical elements,1993,3478.0
United States of America,US,Total,32 - Transport,1993,4569.0
United States of America,US,Total,"33 - Furniture, games",1993,3170.0
United States of America,US,Total,34 - Other consumer goods,1993,2387.0
United States of America,US,Total,35 - Civil engineering,1993,3246.0
European Patent Office,EP,Total,"1 - Electrical machinery, apparatus, energy",1994,3051.0
European Patent Office,EP,Total,2 - Audio-visual technology,1994,2342.0
European Patent Office,EP,Total,3 - Telecommunications,1994,1662.0
European Patent Office,EP,Total,4 - Digital communication,1994,781.0
European Patent Office,EP,Total,5 - Basic communication processes,1994,883.0
European Patent Office,EP,Total,6 - Computer technology,1994,2191.0
European Patent Office,EP,Total,7 - IT methods for management,1994,40.0
European Patent Office,EP,Total,8 - Semiconductors,1994,1277.0
European Patent Office,EP,Total,9 - Optics,1994,2562.0
European Patent Office,EP,Total,10 - Measurement,1994,2441.0
European Patent Office,EP,Total,11 - Analysis of biological materials,1994,485.0
European Patent Office,EP,Total,12 - Control,1994,958.0
European Patent Office,EP,Total,13 - Medical technology,1994,2583.0
European Patent Office,EP,Total,14 - Organic fine chemistry,1994,2572.0
European Patent Office,EP,Total,15 - Biotechnology,1994,1288.0
European Patent Office,EP,Total,16 - Pharmaceuticals,1994,1874.0
European Patent Office,EP,Total,"17 - Macromolecular chemistry, polymers",1994,1912.0
European Patent Office,EP,Total,18 - Food chemistry,1994,501.0
European Patent Office,EP,Total,19 - Basic materials chemistry,1994,2059.0
European Patent Office,EP,Total,"20 - Materials, metallurgy",1994,1286.0
European Patent Office,EP,Total,"21 - Surface technology, coating",1994,1009.0
European Patent Office,EP,Total,22 - Micro-structural and nano-technology,1994,14.0
European Patent Office,EP,Total,23 - Chemical engineering,1994,1946.0
European Patent Office,EP,Total,24 - Environmental technology,1994,858.0
European Patent Office,EP,Total,25 - Handling,1994,2293.0
European Patent Office,EP,Total,26 - Machine tools,1994,1684.0
European Patent Office,EP,Total,"27 - Engines, pumps, turbines",1994,1372.0
European Patent Office,EP,Total,28 - Textile and paper machines,1994,1991.0
European Patent Office,EP,Total,29 - Other special machines,1994,2141.0
European Patent Office,EP,Total,30 - Thermal processes and apparatus,1994,849.0
European Patent Office,EP,Total,31 - Mechanical elements,1994,1900.0
European Patent Office,EP,Total,32 - Transport,1994,2252.0
European Patent Office,EP,Total,"33 - Furniture, games",1994,1017.0
European Patent Office,EP,Total,34 - Other consumer goods,1994,1118.0
European Patent Office,EP,Total,35 - Civil engineering,1994,1847.0
United States of America,US,Total,"1 - Electrical machinery, apparatus, energy",1994,5270.0
United States of America,US,Total,2 - Audio-visual technology,1994,4795.0
United States of America,US,Total,3 - Telecommunications,1994,2782.0
United States of America,US,Total,4 - Digital communication,1994,1147.0
United States of America,US,Total,5 - Basic communication processes,1994,1811.0
United States of America,US,Total,6 - Computer technology,1994,5051.0
United States of America,US,Total,7 - IT methods for management,1994,154.0
United States of America,US,Total,8 - Semiconductors,1994,4000.0
United States of America,US,Total,9 - Optics,1994,5398.0
United States of America,US,Total,10 - Measurement,1994,5226.0
United States of America,US,Total,11 - Analysis of biological materials,1994,621.0
United States of America,US,Total,12 - Control,1994,1729.0
United States of America,US,Total,13 - Medical technology,1994,5566.0
United States of America,US,Total,14 - Organic fine chemistry,1994,3843.0
United States of America,US,Total,15 - Biotechnology,1994,1590.0
United States of America,US,Total,16 - Pharmaceuticals,1994,1831.0
United States of America,US,Total,"17 - Macromolecular chemistry, polymers",1994,3032.0
United States of America,US,Total,18 - Food chemistry,1994,672.0
United States of America,US,Total,19 - Basic materials chemistry,1994,3049.0
United States of America,US,Total,"20 - Materials, metallurgy",1994,2336.0
United States of America,US,Total,"21 - Surface technology, coating",1994,1796.0
United States of America,US,Total,22 - Micro-structural and nano-technology,1994,22.0
United States of America,US,Total,23 - Chemical engineering,1994,3152.0
United States of America,US,Total,24 - Environmental technology,1994,1358.0
United States of America,US,Total,25 - Handling,1994,3743.0
United States of America,US,Total,26 - Machine tools,1994,3100.0
United States of America,US,Total,"27 - Engines, pumps, turbines",1994,2882.0
United States of America,US,Total,28 - Textile and paper machines,1994,2762.0
United States of America,US,Total,29 - Other special machines,1994,4284.0
United States of America,US,Total,30 - Thermal processes and apparatus,1994,1463.0
United States of America,US,Total,31 - Mechanical elements,1994,3503.0
United States of America,US,Total,32 - Transport,1994,4628.0
United States of America,US,Total,"33 - Furniture, games",1994,3743.0
United States of America,US,Total,34 - Other consumer goods,1994,2581.0
United States of America,US,Total,35 - Civil engineering,1994,3234.0
European Patent Office,EP,Total,"1 - Electrical machinery, apparatus, energy",1995,3342.0
European Patent Office,EP,Total,2 - Audio-visual technology,1995,2171.0
European Patent Office,EP,Total,3 - Telecommunications,1995,1762.0
European Patent Office,EP,Total,4 - Digital communication,1995,843.0
European Patent Office,EP,Total,5 - Basic communication processes,1995,887.0
European Patent Office,EP,Total,6 - Computer technology,1995,2413.0
European Patent Office,EP,Total,7 - IT methods for management,1995,69.0
European Patent Office,EP,Total,8 - Semiconductors,1995,1361.0
European Patent Office,EP,Total,9 - Optics,1995,2421.0
European Patent Office,EP,Total,10 - Measurement,1995,2451.0
European Patent Office,EP,Total,11 - Analysis of biological materials,1995,538.0
European Patent Office,EP,Total,12 - Control,1995,870.0
European Patent Office,EP,Total,13 - Medical technology,1995,2528.0
European Patent Office,EP,Total,14 - Organic fine chemistry,1995,2891.0
European Patent Office,EP,Total,15 - Biotechnology,1995,1521.0
European Patent Office,EP,Total,16 - Pharmaceuticals,1995,2129.0
European Patent Office,EP,Total,"17 - Macromolecular chemistry, polymers",1995,1907.0
European Patent Office,EP,Total,18 - Food chemistry,1995,597.0
European Patent Office,EP,Total,19 - Basic materials chemistry,1995,2223.0
European Patent Office,EP,Total,"20 - Materials, metallurgy",1995,1334.0
European Patent Office,EP,Total,"21 - Surface technology, coating",1995,1007.0
European Patent Office,EP,Total,22 - Micro-structural and nano-technology,1995,25.0
European Patent Office,EP,Total,23 - Chemical engineering,1995,2084.0
European Patent Office,EP,Total,24 - Environmental technology,1995,893.0
European Patent Office,EP,Total,25 - Handling,1995,2245.0
European Patent Office,EP,Total,26 - Machine tools,1995,1681.0
European Patent Office,EP,Total,"27 - Engines, pumps, turbines",1995,1466.0
European Patent Office,EP,Total,28 - Textile and paper machines,1995,2073.0
European Patent Office,EP,Total,29 - Other special machines,1995,2335.0
European Patent Office,EP,Total,30 - Thermal processes and apparatus,1995,907.0
European Patent Office,EP,Total,31 - Mechanical elements,1995,2052.0
European Patent Office,EP,Total,32 - Transport,1995,2425.0
European Patent Office,EP,Total,"33 - Furniture, games",1995,1139.0
European Patent Office,EP,Total,34 - Other consumer goods,1995,1164.0
European Patent Office,EP,Total,35 - Civil engineering,1995,2016.0
United States of America,US,Total,"1 - Electrical machinery, apparatus, energy",1995,5454.0
United States of America,US,Total,2 - Audio-visual technology,1995,4952.0
United States of America,US,Total,3 - Telecommunications,1995,3031.0
United States of America,US,Total,4 - Digital communication,1995,1392.0
United States of America,US,Total,5 - Basic communication processes,1995,2004.0
United States of America,US,Total,6 - Computer technology,1995,5617.0
United States of America,US,Total,7 - IT methods for management,1995,120.0
United States of America,US,Total,8 - Semiconductors,1995,4120.0
United States of America,US,Total,9 - Optics,1995,5039.0
United States of America,US,Total,10 - Measurement,1995,5331.0
United States of America,US,Total,11 - Analysis of biological materials,1995,614.0
United States of America,US,Total,12 - Control,1995,1757.0
United States of America,US,Total,13 - Medical technology,1995,5501.0
United States of America,US,Total,14 - Organic fine chemistry,1995,4023.0
United States of America,US,Total,15 - Biotechnology,1995,1704.0
United States of America,US,Total,16 - Pharmaceuticals,1995,2073.0
United States of America,US,Total,"17 - Macromolecular chemistry, polymers",1995,2624.0
United States of America,US,Total,18 - Food chemistry,1995,732.0
United States of America,US,Total,19 - Basic materials chemistry,1995,2980.0
United States of America,US,Total,"20 - Materials, metallurgy",1995,1966.0
United States of America,US,Total,"21 - Surface technology, coating",1995,1838.0
United States of America,US,Total,22 - Micro-structural and nano-technology,1995,37.0
United States of America,US,Total,23 - Chemical engineering,1995,3014.0
United States of America,US,Total,24 - Environmental technology,1995,1388.0
United States of America,US,Total,25 - Handling,1995,3544.0
United States of America,US,Total,26 - Machine tools,1995,2838.0
United States of America,US,Total,"27 - Engines, pumps, turbines",1995,2696.0
United States of America,US,Total,28 - Textile and paper machines,1995,2911.0
United States of America,US,Total,29 - Other special machines,1995,4095.0
United States of America,US,Total,30 - Thermal processes and apparatus,1995,1272.0
United States of America,US,Total,31 - Mechanical elements,1995,3246.0
United States of America,US,Total,32 - Transport,1995,4544.0
United States of America,US,Total,"33 - Furniture, games",1995,3635.0
United States of America,US,Total,34 - Other consumer goods,1995,2655.0
United States of America,US,Total,35 - Civil engineering,1995,3090.0
European Patent Office,EP,Total,"1 - Electrical machinery, apparatus, energy",1996,3525.0
European Patent Office,EP,Total,2 - Audio-visual technology,1996,2449.0
European Patent Office,EP,Total,3 - Telecommunications,1996,1890.0
European Patent Office,EP,Total,4 - Digital communication,1996,1000.0
European Patent Office,EP,Total,5 - Basic communication processes,1996,930.0
European Patent Office,EP,Total,6 - Computer technology,1996,2571.0
European Patent Office,EP,Total,7 - IT methods for management,1996,88.0
European Patent Office,EP,Total,8 - Semiconductors,1996,1498.0
European Patent Office,EP,Total,9 - Optics,1996,2614.0
European Patent Office,EP,Total,10 - Measurement,1996,2474.0
European Patent Office,EP,Total,11 - Analysis of biological materials,1996,554.0
European Patent Office,EP,Total,12 - Control,1996,1053.0
European Patent Office,EP,Total,13 - Medical technology,1996,2903.0
European Patent Office,EP,Total,14 - Organic fine chemistry,1996,2941.0
European Patent Office,EP,Total,15 - Biotechnology,1996,1575.0
European Patent Office,EP,Total,16 - Pharmaceuticals,1996,2204.0
European Patent Office,EP,Total,"17 - Macromolecular chemistry, polymers",1996,2046.0
European Patent Office,EP,Total,18 - Food chemistry,1996,544.0
European Patent Office,EP,Total,19 - Basic materials chemistry,1996,2251.0
European Patent Office,EP,Total,"20 - Materials, metallurgy",1996,1355.0
European Patent Office,EP,Total,"21 - Surface technology, coating",1996,1082.0
European Patent Office,EP,Total,22 - Micro-structural and nano-technology,1996,23.0
European Patent Office,EP,Total,23 - Chemical engineering,1996,2067.0
European Patent Office,EP,Total,24 - Environmental technology,1996,918.0
European Patent Office,EP,Total,25 - Handling,1996,2260.0
European Patent Office,EP,Total,26 - Machine tools,1996,1765.0
European Patent Office,EP,Total,"27 - Engines, pumps, turbines",1996,1643.0
European Patent Office,EP,Total,28 - Textile and paper machines,1996,2252.0
European Patent Office,EP,Total,29 - Other special machines,1996,2357.0
European Patent Office,EP,Total,30 - Thermal processes and apparatus,1996,891.0
European Patent Office,EP,Total,31 - Mechanical elements,1996,2202.0
European Patent Office,EP,Total,32 - Transport,1996,2600.0
European Patent Office,EP,Total,"33 - Furniture, games",1996,1121.0
European Patent Office,EP,Total,34 - Other consumer goods,1996,1144.0
European Patent Office,EP,Total,35 - Civil engineering,1996,2034.0
United States of America,US,Total,"1 - Electrical machinery, apparatus, energy",1996,6099.0
United States of America,US,Total,2 - Audio-visual technology,1996,5473.0
United States of America,US,Total,3 - Telecommunications,1996,3565.0
United States of America,US,Total,4 - Digital communication,1996,1764.0
United States of America,US,Total,5 - Basic communication processes,1996,2044.0
United States of America,US,Total,6 - Computer technology,1996,7115.0
United States of America,US,Total,7 - IT methods for management,1996,157.0
United States of America,US,Total,8 - Semiconductors,1996,4065.0
United States of America,US,Total,9 - Optics,1996,5729.0
United States of America,US,Total,10 - Measurement,1996,5595.0
United States of America,US,Total,11 - Analysis of biological materials,1996,732.0
United States of America,US,Total,12 - Control,1996,1900.0
United States of America,US,Total,13 - Medical technology,1996,5740.0
United States of America,US,Total,14 - Organic fine chemistry,1996,4008.0
United States of America,US,Total,15 - Biotechnology,1996,2305.0
United States of America,US,Total,16 - Pharmaceuticals,1996,2556.0
United States of America,US,Total,"17 - Macromolecular chemistry, polymers",1996,2552.0
United States of America,US,Total,18 - Food chemistry,1996,820.0
United States of America,US,Total,19 - Basic materials chemistry,1996,2995.0
United States of America,US,Total,"20 - Materials, metallurgy",1996,1948.0
United States of America,US,Total,"21 - Surface technology, coating",1996,1741.0
United States of America,US,Total,22 - Micro-structural and nano-technology,1996,49.0
United States of America,US,Total,23 - Chemical engineering,1996,3026.0
United States of America,US,Total,24 - Environmental technology,1996,1405.0
United States of America,US,Total,25 - Handling,1996,3486.0
United States of America,US,Total,26 - Machine tools,1996,2989.0
United States of America,US,Total,"27 - Engines, pumps, turbines",1996,2973.0
United States of America,US,Total,28 - Textile and paper machines,1996,3111.0
United States of America,US,Total,29 - Other special machines,1996,4077.0
United States of America,US,Total,30 - Thermal processes and apparatus,1996,1305.0
United States of America,US,Total,31 - Mechanical elements,1996,3568.0
United States of America,US,Total,32 - Transport,1996,5025.0
United States of America,US,Total,"33 - Furniture, games",1996,3893.0
United States of America,US,Total,34 - Other consumer goods,1996,2744.0
United States of America,US,Total,35 - Civil engineering,1996,3391.0
European Patent Office,EP,Total,"1 - Electrical machinery, apparatus, energy",1997,3690.0
European Patent Office,EP,Total,2 - Audio-visual technology,1997,2671.0
European Patent Office,EP,Total,3 - Telecommunications,1997,2208.0
European Patent Office,EP,Total,4 - Digital communication,1997,1166.0
European Patent Office,EP,Total,5 - Basic communication processes,1997,981.0
European Patent Office,EP,Total,6 - Computer technology,1997,2754.0
European Patent Office,EP,Total,7 - IT methods for management,1997,134.0
European Patent Office,EP,Total,8 - Semiconductors,1997,1419.0
European Patent Office,EP,Total,9 - Optics,1997,2408.0
European Patent Office,EP,Total,10 - Measurement,1997,2632.0
European Patent Office,EP,Total,11 - Analysis of biological materials,1997,616.0
European Patent Office,EP,Total,12 - Control,1997,1129.0
European Patent Office,EP,Total,13 - Medical technology,1997,3041.0
European Patent Office,EP,Total,14 - Organic fine chemistry,1997,2941.0
European Patent Office,EP,Total,15 - Biotechnology,1997,1868.0
European Patent Office,EP,Total,16 - Pharmaceuticals,1997,2458.0
European Patent Office,EP,Total,"17 - Macromolecular chemistry, polymers",1997,1934.0
European Patent Office,EP,Total,18 - Food chemistry,1997,654.0
European Patent Office,EP,Total,19 - Basic materials chemistry,1997,2363.0
European Patent Office,EP,Total,"20 - Materials, metallurgy",1997,1354.0
European Patent Office,EP,Total,"21 - Surface technology, coating",1997,1160.0
European Patent Office,EP,Total,22 - Micro-structural and nano-technology,1997,31.0
European Patent Office,EP,Total,23 - Chemical engineering,1997,2089.0
European Patent Office,EP,Total,24 - Environmental technology,1997,891.0
European Patent Office,EP,Total,25 - Handling,1997,2376.0
European Patent Office,EP,Total,26 - Machine tools,1997,1847.0
European Patent Office,EP,Total,"27 - Engines, pumps, turbines",1997,1773.0
European Patent Office,EP,Total,28 - Textile and paper machines,1997,2266.0
European Patent Office,EP,Total,29 - Other special machines,1997,2425.0
