Series Code,Country Name,Country Code,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",GDP per capita (constant 2015 US$)
SE.SEC.CUAT.LO.ZS,North America,NAC,..,61794.69301
SE.SEC.CUAT.LO.ZS,Not classified,INX,..,..
SE.SEC.CUAT.LO.ZS,OECD members,OED,..,39203.91185
SE.SEC.CUAT.LO.ZS,Other small states,OSS,..,13316.49439
SE.SEC.CUAT.LO.ZS,Pacific island small states,PSS,..,3681.76137
SE.SEC.CUAT.LO.ZS,Post-demographic dividend,PST,..,45048.77984
SE.SEC.CUAT.LO.ZS,Pre-demographic dividend,PRE,..,1452.123349
SE.SEC.CUAT.LO.ZS,Small states,SST,..,12203.98101
SE.SEC.CUAT.LO.ZS,South Asia,SAS,..,1993.217039
SE.SEC.CUAT.LO.ZS,South Asia (IDA & IBRD),TSA,..,1993.217039
SE.SEC.CUAT.LO.ZS,Sub-Saharan Africa,SSF,..,1597.725296
SE.SEC.CUAT.LO.ZS,Sub-Saharan Africa (excluding high income),SSA,..,1596.280998
SE.SEC.CUAT.LO.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,1597.725296
SE.SEC.CUAT.LO.ZS,Upper middle income,UMC,..,9418.225816
SE.SEC.CUAT.LO.ZS,World,WLD,..,11364.96506
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
