Country,GDP per capita (current US$)
Argentina,13730.51471
Bolivia,3700.978338
Brazil,10043.62392
Chile,17093.24197
Colombia,6979.725135
Ecuador,6533.351504
Guyana,20626.19915
Paraguay,6260.455191
Peru,7789.870975
Suriname,6069.028901
Uruguay,22564.53246
Venezuela,3870
